214-037| P / Semis:Production Perso-Semis 029|Pediocactus-Pilocanthus paradinei|08/04/24 / Zone 5b : -26.1 à -23.3°C 
215-037| P / Semis:Production Perso-Semis 029|Pediocactus-Pilocanthus paradinei|08/04/24 / Zone 5b : -26.1 à -23.3°C 
216-037| P / Semis:Production Perso-Semis 029|Pediocactus-Pilocanthus paradinei|08/04/24 / Zone 5b : -26.1 à -23.3°C 
217-037| P / Semis:Production Perso-Semis 029|Pediocactus-Pilocanthus paradinei|08/04/24 / Zone 5b : -26.1 à -23.3°C 
218-043| P / Semis:Production Perso-Semis 017|Melocactus bahiensis|28/12/23 / Zone 11a : 4.4 à 7.2°C 
219-145|S58 / Graines:Production Perso-...|Epithelantha micromeris|01/09/24
220-073|S57 / Graines:Production Perso-...|Gymnocalycium monvillei|18/08/24
221-149| P / Graines:Production Perso-...|Turbinicarpus pseudomacrochele|11/09/24 / Zone 9b : -3.9 à -1.1°C 
222-060| P / Semis:Production Perso-Semis 33|Ferocactus echidne|24/05/24 / Zone 11a : 4.4 à 7.2°C 
223-223|S59 / 82015:Koehres-1894|Astrophytum Asterias Texas|30/12/99
224-224|S60 / 82015:Koehres-73|Astrophytum Coahuilense|30/12/99
225-225|S61 / 82015:Koehres-74|Astrophytum Myriostigma|30/12/99
226-226|S62 / 82015:Koehres-80|Astrophytum Ornatum|30/12/99
227-227|S63 / 82015:Koehres-250|Copiapoa Humilis Fr464|30/12/99
228-228|S64 / 82015:Koehres-4807|Echinocereus Sp Texas|30/12/99
229-229|S65 / 82015:Koehres-2079|Ferocactus echidne|30/12/99
230-230|S66 / 82015:Koehres-841|Lobivia acanthoplegma|30/12/99
239-239|S75 / 82015:Koehres-1109|Matucana Huarinensis|30/12/99
240-240|S76 / 82015:Koehres-1598|Pseudoespostoa Chiletensis|30/12/99
241-241| P / Brendel:Schoppenwihr-...|Copiapoa hypogaea|06/10/24 / Zone 9a : -6.7 à -3.9°C 
242-242| P / Brendel:Schoppenwihr-...|Tephrocactus articulatus|06/10/24 / Zone 8a : -12.2 à -9.4°C 
243-243| P / Brendel:Schoppenwihr-...|Escobaria emskoetteriana|06/10/24 / Zone 8a : -12.2 à -9.4°C 
244-244| P / Yuccashop:Schoppenwihr-...|Chamacereus silvestrii|06/10/24 / Zone 8a : -12.2 à -9.4°C 
245-245| P / Yuccashop:Schoppenwihr-...|Escobaria sneedi ssp. Leei|06/10/24 / Zone 8a : -12.2 à -9.4°C 
246-246| P / Agave Specialist:Schoppenwihr-...|Astrophytum asterias|06/10/24 / Zone 9a : -6.7 à -3.9°C 
249-249| P / Agave Specialist:Schoppenwihr-...|Selenicereus grandiflorus|06/10/24 / Zone 10a : -1.1 à 1.7°C 
250-250| P / Agave Specialist:Schoppenwihr-...|Echinocereus poselgeri|06/10/24 / Zone 9a : -6.7 à -3.9°C 
251-251| P / Agave Specialist:Schoppenwihr-...|Cereus jamacaru|06/10/24 / Zone 9a : -6.7 à -3.9°C 
